Serial No.		Street Name				Closure type
791			701 n. sacramento			No Street full closure
792			10300 s. doty			No Street full closure
793			10300 s. doty			No Street full closure
794			10300 s. doty			No Street full closure
795			701 n. sacramento			No Street full closure
796			10300 s. doty			No Street full closure
797			10300 s. doty			No Street full closure
798			10300 s. doty			No Street full closure
799			10300 s. doty			No Street full closure
800			10300 s. doty			No Street full closure
801			701 n. sacramento			No Street full closure
802			701 n. sacramento			No Street full closure
803			701 n. sacramento			No Street full closure
804			10300 s. doty			No Street full closure
805			10300 s. doty			No Street full closure
806			701 n. sacramento			No Street full closure
807			10300 s. doty			No Street full closure
808			10300 s. doty			No Street full closure
809			10300 s. doty			No Street full closure
810			10300 s. doty			No Street full closure
811			701 n. sacramento			No Street full closure
812			10300 s. doty			No Street full closure
813			701 n. sacramento			No Street full closure
814			10300 s. doty			No Street full closure
815			701 n. sacramento			No Street full closure
816			10300 s. doty			No Street full closure
817			10300 s. doty			No Street full closure
818			701 n. sacramento			No Street full closure
819			701 n. sacramento			No Street full closure
820			701 n. sacramento			No Street full closure
821			10300 s. doty			No Street full closure
822			10300 s. doty			No Street full closure
823			10300 s. doty			No Street full closure
824			701 n. sacramento			No Street full closure
825			701 n. sacramento			No Street full closure
826			10300 s. doty			No Street full closure
827			701 n. sacramento			No Street full closure
828			10300 s. doty			No Street full closure
829			10300 s. doty			No Street full closure
830			10300 s. doty			No Street full closure
831			10300 s. doty			No Street full closure
832			701 n. sacramento			No Street full closure
833			10300 s. doty			No Street full closure
834			701 n. sacramento			No Street full closure
835			10300 s. doty			No Street full closure
836			10300 s. doty			No Street full closure
837			10300 s. doty			No Street full closure
838			10300 s. doty			No Street full closure
839			10300 s. doty			No Street full closure
840			10300 s. doty			No Street full closure
841			10300 s. doty			No Street full closure
842			10300 s. doty			No Street full closure
843			10300 s. doty			No Street full closure
844			10300 s. doty			No Street full closure
845			10300 s. doty			No Street full closure
846			701 n. sacramento			No Street full closure
847			10300 s. doty			No Street full closure
848			701 n. sacramento			No Street full closure
849			10300 s. doty			No Street full closure
850			701 n. sacramento			No Street full closure
851			701 n. sacramento			No Street full closure
852			10300 s. doty			No Street full closure
853			10300 s. doty			No Street full closure
854			10300 s. doty			No Street full closure
855			701 n. sacramento			No Street full closure
856			701 n. sacramento			No Street full closure
857			10300 s. doty			No Street full closure
858			10300 s. doty			No Street full closure
859			10300 s. doty			No Street full closure
860			701 n. sacramento			No Street full closure
861			10300 s. doty			No Street full closure
862			10300 s. doty			No Street full closure
863			10300 s. doty			No Street full closure
864			10300 s. doty			No Street full closure
865			10300 s. doty			No Street full closure
866			701 n. sacramento			No Street full closure
867			10300 s. doty			No Street full closure
868			10300 s. doty			No Street full closure
869			701 n. sacramento			No Street full closure
870			701 n. sacramento			No Street full closure
871			10300 s. doty			No Street full closure
872			10300 s. doty			No Street full closure
873			10300 s. doty			No Street full closure
874			701 n. sacramento			No Street full closure
875			10300 s. doty			No Street full closure
876			10300 s. doty			No Street full closure
877			10300 s. doty			No Street full closure
878			10300 s. doty			No Street full closure
879			10300 s. doty			No Street full closure
880			701 n. sacramento			No Street full closure
881			701 n. sacramento			No Street full closure
882			10300 s. doty			No Street full closure
883			10300 s. doty			No Street full closure
884			10300 s. doty			No Street full closure
885			701 n. sacramento			No Street full closure
886			10300 s. doty			No Street full closure
887			10300 s. doty			No Street full closure
888			10300 s. doty			No Street full closure
889			10300 s. doty			No Street full closure
890			701 n. sacramento			No Street full closure
891			10300 s. doty			No Street full closure
892			701 n. sacramento			No Street full closure
893			10300 s. doty			No Street full closure
894			10300 s. doty			No Street full closure
895			10300 s. doty			No Street full closure
896			10300 s. doty			No Street full closure
897			10300 s. doty			No Street full closure
898			10300 s. doty			No Street full closure
899			701 n. sacramento			No Street full closure
900			10300 s. doty			No Street full closure
901			10300 s. doty			No Street full closure
902			701 n. sacramento			No Street full closure
903			10300 s. doty			No Street full closure
904			10300 s. doty			No Street full closure
905			10300 s. doty			No Street full closure
906			10300 s. doty			No Street full closure
907			10300 s. doty			No Street full closure
908			10300 s. doty			No Street full closure
909			701 n. sacramento			No Street full closure
910			10300 s. doty			No Street full closure
911			701 n. sacramento			No Street full closure
912			10300 s. doty			No Street full closure
913			10300 s. doty			No Street full closure
914			701 n. sacramento			No Street full closure
915			701 n. sacramento			No Street full closure
916			10300 s. doty			No Street full closure
917			10300 s. doty			No Street full closure
918			10300 s. doty			No Street full closure
919			701 n. sacramento			No Street full closure
920			701 n. sacramento			No Street full closure
921			701 n. sacramento			No Street full closure
922			10300 s. doty			No Street full closure
923			10300 s. doty			No Street full closure
924			10300 s. doty			No Street full closure
925			701 n. sacramento			No Street full closure
926			701 n. sacramento			No Street full closure
927			701 n. sacramento			No Street full closure
928			701 n. sacramento			No Street full closure
929			701 n. sacramento			No Street full closure
930			701 n. sacramento			No Street full closure
931			701 n. sacramento			No Street full closure
932			701 n. sacramento			No Street full closure
933			10300 s. doty			No Street full closure
934			701 n. sacramento			No Street full closure
935			701 n. sacramento			No Street full closure
936			701 n. sacramento			No Street full closure
937			10300 s. doty			No Street full closure
938			701 n. sacramento			No Street full closure
939			10300 s. doty			No Street full closure
940			10300 s. doty			No Street full closure
941			10300 s. doty			No Street full closure
942			10300 s. doty			No Street full closure
943			701 n. sacramento			No Street full closure
944			10300 s. doty			No Street full closure
945			10300 s. doty			No Street full closure
946			10300 s. doty			No Street full closure
947			701 n. sacramento			No Street full closure
948			10300 s. doty			No Street full closure
949			10300 s. doty			No Street full closure
950			10300 s. doty			No Street full closure
951			10300 s. doty			No Street full closure
952			701 n. sacramento			No Street full closure
953			10300 s. doty			No Street full closure
954			10300 s. doty			No Street full closure
